mondrian_group,sum_phi,n_null,min_null
a broccoli in the scene,301.39212235655106,466,50
a small skis near the center,248.9695778097847,314,50
a truck object,246.91146324490492,299,50
a small broccoli near the center,157.0396156349572,240,50
a banana object,130.7597432629217,211,50
a small giraffe near the center,188.02820584274758,200,50
a stop sign in the scene,147.6123432922003,196,50
a small keyboard near the center,139.65833284158649,178,50
a spoon in the scene,133.96437731981732,178,50
a small sink near the center,138.03039987794003,177,50
a fork in the scene,145.71861949763186,166,50
a person object,139.42413036775872,150,50
a small parking meter near the center,128.14780092143053,148,50
a potted plant in the scene,88.07982663780206,140,50
a small toaster near the center,124.95312514677,137,50
a visible book in the scene,105.3735623969067,130,50
a bicycle in the scene,101.73888260408633,112,50
a small dog near the center,63.43758940405352,107,50
a small backpack near the center,71.86692761853686,101,50
a small kite near the center,73.49544626989088,99,50
a book in the scene,63.96188094315015,97,50
a small car near the center,83.09596758790994,95,50
a small sports ball near the center,84.40388968160539,93,50
a tie in the scene,90.98547741293436,91,50
a small bottle near the center,97.74488329244448,89,50
a sports ball in the scene,70.81492358214115,89,50
a car in the scene,60.81005716838348,89,50
a traffic light in the scene,69.73090856163158,82,50
a bus in the scene,73.4961838405164,80,50
a small sandwich near the center,57.95739071581123,80,50
a fire hydrant in the scene,64.94727342832444,73,50
a traffic light object,61.032706992999444,71,50
a photo containing a backpack,80.1162353979829,69,50
a mouse in the scene,60.49711478686845,69,50
a small couch near the center,79.61421249604417,66,50
a apple in the scene,64.63741166256361,65,50
a small suitcase near the center,53.62838682447979,64,50
the donut in this image,48.00834478495856,61,50
a train in the scene,53.5733724108499,60,50
a close-up of a baseball glove,61.790689403627844,57,50
a small baseball bat near the center,53.65326794187318,56,50
a small refrigerator near the center,46.41350901729003,56,50
a small fork near the center,45.70819487563128,56,50
a small skateboard near the center,52.782701311947946,55,50
a baseball glove in the scene,53.74376173287704,51,50
a close-up of a scissors,52.375363796433554,51,50
a bird object,46.710073879105174,51,50
a photo of a person,61.69759441493094,49,50
a umbrella object,48.183055960514906,49,50
a zebra in the scene,58.17131457788297,47,50
a couch in the scene,58.16144105250371,47,50
the bottle in this image,56.402190392765945,47,50
a small elephant near the center,38.02400218717605,46,50
a close-up of a keyboard,56.55686272863158,45,50
a small tennis racket near the center,43.13277563726836,45,50
a hair drier in the scene,41.37469138150313,45,50
a small mouse near the center,37.504659393185094,45,50
the surfboard in this image,43.307287418379325,43,50
a close-up of a orange,54.94864974044603,41,50
a small remote near the center,43.41219960024117,41,50
a photo of a knife,32.50381209173661,41,50
a tie object,38.85187743419949,40,50
a bowl in the scene,33.51575903804842,40,50
a small bicycle near the center,31.567811624573103,39,50
a bird in the scene,45.93897501142082,38,50
a photo of a skis,39.781649522777684,38,50
a visible person in the scene,38.095655855754046,36,50
a cat in the scene,48.69021732414294,35,50
a umbrella in the scene,31.82240452801906,35,50
a small stop sign near the center,27.447056252783458,35,50
a photo of a banana,26.626600916146124,35,50
a photo of a mouse,24.822897765790056,35,50
a hot dog in the scene,38.59415946275308,34,50
a small potted plant near the center,29.63439699940957,34,50
a dog in the scene,29.261032360922897,34,50
a oven in the scene,27.82292367021352,34,50
a truck in the scene,32.52294068571588,33,50
a small frisbee near the center,32.0050879035993,33,50
a photo containing a cup,24.7706266102288,32,50
a banana in the scene,38.53365070885032,31,50
a photo containing a vase,26.470899134752436,31,50
a photo containing a bench,32.27297321527969,30,50
a small oven near the center,27.500985088423185,30,50
a photo of a tie,26.683926260548045,30,50
a photo of a sink,40.941743244244,29,50
a photo containing a toilet,37.353298011458676,29,50
the person in this image,31.475559309188835,29,50
a small laptop near the center,28.723066004995342,29,50
a close-up of a banana,22.65667772850529,29,50
