mondrian_group,sum_phi,n_null,min_null
a giraffe in the scene,187.5157393622901,300,50
a small keyboard near the center,197.18553611124347,252,50
a small kite near the center,160.8271966059194,194,50
a close-up of a knife,117.69709532283677,186,50
a train object,114.66726266551724,170,50
a fork in the scene,101.50668610510792,160,50
a clock in the scene,158.21362267058515,153,50
a small dining table near the center,152.64046490523813,153,50
a small toothbrush near the center,133.86931814029992,149,50
a small bear near the center,104.58794490104385,140,50
a small skis near the center,93.21730951508466,138,50
a small potted plant near the center,106.44982426896391,137,50
a small fork near the center,124.74221378259905,129,50
a small spoon near the center,78.99751154132618,116,50
a small backpack near the center,72.59895365013345,101,50
a photo of a cup,74.78398588529744,96,50
a small laptop near the center,89.98038413052845,94,50
a sports ball in the scene,74.3734941432188,89,50
a small donut near the center,90.9630427988612,86,50
a car in the scene,68.99244692565749,85,50
a small sink near the center,61.57018596185556,85,50
a truck in the scene,79.55790663321964,84,50
a small toaster near the center,68.25152312708101,80,50
a person object,76.60140482950949,79,50
a small snowboard near the center,71.24926576093416,79,50
a small traffic light near the center,80.3316756942048,77,50
a book in the scene,77.41099736551293,76,50
a small horse near the center,70.88185532938468,71,50
a small microwave near the center,79.7172802610922,70,50
a small banana near the center,64.98859355046142,70,50
a small tie near the center,60.8402758778821,70,50
a visible skis in the scene,62.36826464816016,69,50
a small cake near the center,56.61879773913367,69,50
a bus in the scene,69.22559766190793,67,50
a snowboard in the scene,49.007372731639286,63,50
a small train near the center,55.573657557041436,62,50
a tie object,53.742204904907275,60,50
a small frisbee near the center,52.54442776997713,59,50
a small wine glass near the center,46.746668579779424,59,50
a bottle in the scene,64.1861628329144,57,50
a bed in the scene,61.32947877077926,56,50
a small refrigerator near the center,46.84031412587176,56,50
a small cat near the center,52.61652848725815,55,50
a close-up of a book,54.4911166431145,54,50
a close-up of a bottle,48.62238830502806,54,50
a photo containing a carrot,61.08900682138187,53,50
a suitcase in the scene,53.87850867931979,53,50
a baseball bat in the scene,47.84238677463131,52,50
a visible person in the scene,71.59838217153953,51,50
a small mouse near the center,59.35403326270561,50,50
a photo containing a apple,55.64834229960336,49,50
a photo containing a knife,49.66413453727136,48,50
a small tennis racket near the center,48.770454487063006,48,50
a photo of a car,48.675806935098194,48,50
a visible chair in the scene,54.23225352596697,46,50
a photo containing a keyboard,48.23329089131516,46,50
the backpack in this image,44.92433565460784,46,50
a baseball glove in the scene,43.13153335966595,46,50
a close-up of a bowl,42.40564148628358,44,50
a truck object,35.42763306832318,44,50
a photo containing a bird,51.57726593693064,43,50
a photo containing a bottle,37.234389908564374,42,50
a close-up of a remote,35.899425763786574,42,50
a photo containing a skis,49.25762073820811,41,50
a tv in the scene,30.129189137925387,41,50
a photo of a remote,33.972472103816685,40,50
a bowl in the scene,33.6482906921091,40,50
a laptop in the scene,30.155718110241597,40,50
a photo containing a skateboard,46.39585067382668,39,50
a photo of a skis,36.27204358408268,38,50
a visible bowl in the scene,34.92651646147789,38,50
a remote in the scene,37.08763081418766,37,50
a small fire hydrant near the center,34.764644239650146,36,50
a photo of a cow,38.97263436209501,35,50
a stop sign in the scene,34.32097607053417,35,50
a umbrella in the scene,33.943818575687644,35,50
a small couch near the center,47.66476061477011,34,50
a photo containing a handbag,36.365662159005524,34,50
a small cup near the center,38.60943032533026,33,50
a small cow near the center,34.00041369311434,33,50
a small sandwich near the center,31.723261038507804,33,50
a small giraffe near the center,40.020440607873,32,50
a close-up of a baseball glove,36.0103558449552,32,50
the orange in this image,31.71048400292138,32,50
a small toilet near the center,29.189354488708904,32,50
a photo containing a cup,24.72624567768686,32,50
a banana in the scene,37.269072040435,31,50
a photo containing a suitcase,35.4559856092302,31,50
a photo of a spoon,28.949485352155087,31,50
a close-up of a keyboard,52.613633148959394,30,50
a photo containing a backpack,41.479133728824806,30,50
a oven in the scene,19.996529589298454,30,50
a close-up of a bear,52.06911490467446,29,50
a couch in the scene,29.3876097393442,29,50
a small vase near the center,34.29230949653327,28,50
the person in this image,32.729674755822415,28,50
a close-up of a cow,48.01924780443708,27,50
a close-up of a sink,45.876839843515356,27,50
a close-up of a horse,33.15940498641806,27,50
a bicycle in the scene,29.54021441679221,26,50
a photo of a horse,29.431977931406504,26,50
a knife object,22.87543176600053,25,50
a cow in the scene,45.48744616128296,24,50
a frisbee in the scene,39.72024853911978,24,50
a photo containing a book,38.04056702827239,23,50
a photo containing a pizza,37.11255043291785,23,50
a umbrella object,22.041771606963287,23,50
a close-up of a chair,21.11006910051319,23,50
a photo of a suitcase,25.20130424828149,22,50
a photo containing a tennis racket,37.71094787759333,21,50
a photo containing a sports ball,28.09544260138524,21,50
a close-up of a tennis racket,18.831749541911897,21,50
a close-up of a oven,32.634542009470536,20,50
a small handbag near the center,31.38272341700468,20,50
the bed in this image,29.133166313564068,20,50
a microwave in the scene,31.705011669940223,19,50
a photo containing a chair,24.029337526851545,19,50
a photo containing a horse,22.566372731631166,19,50
a visible suitcase in the scene,17.53301626081348,19,50
a close-up of a toaster,21.446963313427542,18,50
a zebra in the scene,20.73803641391516,18,50
a small oven near the center,20.686535079382516,18,50
the handbag in this image,28.52370827825154,17,50
a close-up of a cat,24.669322714378307,17,50
a photo containing a bench,19.75907593579142,17,50
a close-up of a pizza,17.727882624986176,17,50
a vase object,17.446104842689,17,50
the surfboard in this image,17.96336496540619,15,50
a photo of a teddy bear,13.294553669686294,15,50
a visible car in the scene,22.83877632406969,14,50
a bus object,10.303852964221388,14,50
a photo containing a tv,29.449102410631664,13,50
a photo containing a refrigerator,23.06013366884138,13,50
a photo containing a baseball bat,21.8466679093681,13,50
a photo containing a cow,21.263471802540444,13,50
a visible spoon in the scene,20.103380625701913,13,50
a photo containing a wine glass,16.903954666365525,13,50
a backpack in the scene,22.53027918033134,12,50
a close-up of a elephant,22.053691781940074,12,50
a kite in the scene,21.578707769564513,12,50
a photo containing a orange,21.030214891502006,12,50
a hot dog in the scene,19.451086770903522,12,50
a photo of a tie,18.933767022701307,12,50
a photo containing a laptop,17.165121967393517,12,50
a photo of a traffic light,11.483462640364614,12,50
a close-up of a airplane,29.41242190755282,11,50
a photo containing a potted plant,22.783863476528317,11,50
a photo containing a boat,21.122148873920455,11,50
a banana object,19.035145229482012,11,50
a photo containing a bicycle,11.361217990536463,11,50
a zebra object,5.564553017593665,11,50
a visible truck in the scene,22.274531119503,10,50
a close-up of a kite,18.103558715402446,10,50
a close-up of a toothbrush,17.84425284834978,10,50
a close-up of a scissors,15.281726778628178,10,50
a close-up of a microwave,11.838703256231312,10,50
a photo of a bed,10.208731245649663,10,50
the horse in this image,8.079651725908771,10,50
a close-up of a stop sign,17.987961654300694,9,50
a photo containing a teddy bear,17.375042720658737,9,50
a photo of a toilet,16.255087081453663,9,50
a photo containing a car,16.221066259367042,9,50
a close-up of a laptop,15.14525543755034,9,50
a small car near the center,15.13479942470987,9,50
a close-up of a sheep,14.390098338532365,9,50
the baseball bat in this image,12.203042501369536,9,50
a photo containing a person,16.24253576822806,8,50
a photo containing a donut,15.290179375309542,8,50
a close-up of a wine glass,14.599220682749337,8,50
a photo containing a toaster,19.61334587615243,7,50
a close-up of a handbag,18.436260896669435,7,50
a close-up of a clock,16.335080965057312,7,50
a close-up of a toilet,15.914294350930733,7,50
a photo of a dog,9.76464957045306,7,50
a photo of a zebra,8.054694937813355,7,50
the frisbee in this image,7.104990010896662,7,50
a airplane object,5.987622184713255,7,50
a close-up of a suitcase,19.186804049818612,6,50
a close-up of a refrigerator,16.88299898022356,6,50
a close-up of a orange,14.861622154859958,6,50
a photo containing a motorcycle,14.797246806898254,6,50
a photo containing a hot dog,13.255479553753014,6,50
a visible cup in the scene,9.91634676065743,6,50
a oven object,5.406001237969437,6,50
the cup in this image,4.849326132378268,6,50
a visible zebra in the scene,2.7509204625473633,6,50
a photo containing a fire hydrant,15.74770228719199,5,50
a close-up of a boat,15.114180631013584,5,50
a close-up of a dining table,14.827556469072183,5,50
a photo containing a stop sign,12.293841671211839,5,50
a photo containing a elephant,11.653974329398148,5,50
a close-up of a cup,18.50969767822343,4,50
a photo containing a dining table,13.857995944064598,4,50
a close-up of a person,13.112798517975902,4,50
a photo containing a airplane,7.4329749716851445,4,50
a visible banana in the scene,5.654951585364513,4,50
the elephant in this image,4.644828516916119,4,50
a visible surfboard in the scene,4.208614123739133,4,50
a visible refrigerator in the scene,6.2546983528277655,3,50
the baseball glove in this image,2.758454556942762,3,50
a close-up of a bus,12.526278358580473,2,50
a close-up of a tv,12.233677098221083,2,50
a visible skateboard in the scene,3.2006683225031853,2,50
a visible pizza in the scene,3.1440333212703395,2,50
the wine glass in this image,2.757624895137379,2,50
the cat in this image,2.650347084108552,1,50
a visible sandwich in the scene,2.650347084108552,1,50
a visible bird in the scene,2.650347084108552,1,50
the sandwich in this image,1.8308248028543397,1,50
the sheep in this image,1.6365415034190738,1,50
a visible horse in the scene,1.6365415034190738,1,50
a book object,1.1984773636149784,1,50
