family_id,dataset,image_id,category_id,category_name,prompt,is_prompt_absent,num_candidates,num_rejected,fp,tp,fdp
coco:1000:50:29,coco,1000,50,spoon,a spoon in the scene,True,102,0,0,0,0.0
coco:10092:77:304,coco,10092,77,cell phone,a small cell phone near the center,True,33,0,0,0,0.0
coco:10363:36:308,coco,10363,36,snowboard,a snowboard in the scene,True,63,0,0,0,0.0
coco:10583:46:310,coco,10583,46,wine glass,a close-up of a wine glass,True,2,0,0,0,0.0
coco:10583:54:309,coco,10583,54,sandwich,the sandwich in this image,False,2,0,0,0,0.0
coco:10583:78:311,coco,10583,78,microwave,a microwave in the scene,True,22,0,0,0,0.0
coco:10707:10:314,coco,10707,10,traffic light,a traffic light in the scene,True,82,0,0,0,0.0
coco:10707:51:313,coco,10707,51,bowl,a small bowl near the center,True,14,0,0,0,0.0
coco:10764:21:316,coco,10764,21,cow,a small cow near the center,True,6,0,0,0,0.0
coco:10977:81:318,coco,10977,81,sink,a photo of a sink,False,19,0,0,0,0.0
coco:10995:17:323,coco,10995,17,cat,a cat in the scene,True,28,0,0,0,0.0
coco:10995:60:322,coco,10995,60,donut,a small donut near the center,True,61,0,0,0,0.0
coco:10995:65:321,coco,10995,65,bed,a photo of a bed,False,9,0,0,0,0.0
coco:11051:85:325,coco,11051,85,clock,a photo containing a clock,True,10,0,0,0,0.0
coco:11149:2:330,coco,11149,2,bicycle,a bicycle object,False,20,0,0,0,0.0
coco:11149:54:332,coco,11149,54,sandwich,a small sandwich near the center,True,84,0,0,0,0.0
coco:11511:10:338,coco,11511,10,traffic light,a traffic light in the scene,True,45,0,0,0,0.0
coco:11511:4:336,coco,11511,4,motorcycle,the motorcycle in this image,False,10,0,0,0,0.0
coco:11615:51:340,coco,11615,51,bowl,a small bowl near the center,True,34,0,0,0,0.0
coco:11615:81:341,coco,11615,81,sink,a small sink near the center,True,26,0,0,0,0.0
coco:11615:8:339,coco,11615,8,truck,a visible truck in the scene,False,12,0,0,0,0.0
coco:11699:1:342,coco,11699,1,person,a person object,False,22,0,0,0,0.0
coco:11699:67:343,coco,11699,67,dining table,a small dining table near the center,True,79,0,0,0,0.0
coco:11760:24:345,coco,11760,24,zebra,a photo of a zebra,False,17,0,0,0,0.0
coco:11760:47:347,coco,11760,47,cup,a small cup near the center,True,62,0,0,0,0.0
coco:11813:37:350,coco,11813,37,sports ball,a close-up of a sports ball,True,9,0,0,0,0.0
coco:11813:62:348,coco,11813,62,chair,a chair object,False,22,0,0,0,0.0
coco:12062:53:353,coco,12062,53,apple,a apple in the scene,True,36,0,0,0,0.0
coco:12062:63:352,coco,12062,63,couch,a photo containing a couch,True,6,0,0,0,0.0
coco:12280:33:357,coco,12280,33,suitcase,a photo of a suitcase,False,23,0,0,0,0.0
