mondrian_group,sum_phi,n_null,min_null
a giraffe in the scene,194.18622082416974,300,50
a small sink near the center,211.9277393094,251,50
a small backpack near the center,180.9508816054713,215,50
a small toaster near the center,178.69700935995772,204,50
a small toothbrush near the center,142.91813562206696,176,50
a spoon in the scene,104.03077240247094,149,50
a small suitcase near the center,139.6054604211374,146,50
a small oven near the center,122.43625904426287,141,50
a small horse near the center,123.67071349822352,139,50
a bus in the scene,112.40676965572231,131,50
a small tennis racket near the center,109.96376582263815,116,50
a visible person in the scene,116.03982687016938,115,50
a small fork near the center,104.64534814629248,110,50
a stop sign in the scene,78.48071324497782,104,50
a person object,95.37620137722648,99,50
the tie in this image,62.119959736983105,99,50
a photo of a cup,74.21353355131892,96,50
a banana in the scene,65.11558636554784,92,50
a tie in the scene,88.65398556927889,91,50
a sports ball in the scene,74.85207053053621,89,50
a small car near the center,70.20002949666463,86,50
a microwave in the scene,91.8049673055042,85,50
a small snowboard near the center,82.66164431485234,85,50
a traffic light in the scene,68.17090685031367,82,50
a skis object,66.5263419392259,80,50
a tie object,71.61676189769605,72,50
a small kite near the center,56.03024484147088,68,50
a visible broccoli in the scene,64.4211526351086,67,50
a photo containing a knife,71.24278861504868,65,50
a dining table in the scene,55.597305652348744,65,50
a small cup near the center,60.61178938152674,64,50
a wine glass in the scene,59.82871812250884,63,50
a keyboard in the scene,56.640338306485184,62,50
a baseball bat in the scene,52.67744147939508,62,50
a carrot in the scene,49.025269752730715,62,50
a truck in the scene,69.85263111727109,60,50
a photo containing a skateboard,66.1141060644528,60,50
the person in this image,62.34599687492543,59,50
a small wine glass near the center,51.366035122590446,59,50
a small baseball bat near the center,52.34778229992147,56,50
a photo containing a surfboard,54.67631849886202,54,50
a small laptop near the center,47.44579813798364,49,50
a close-up of a spoon,49.71381908001627,47,50
a scissors in the scene,46.67411160223104,47,50
a small book near the center,57.67034249187417,45,50
a tennis racket in the scene,47.451735809157896,45,50
a close-up of a carrot,51.90107361459091,44,50
a visible chair in the scene,51.454235905755304,44,50
a umbrella in the scene,42.34816207525905,44,50
a elephant in the scene,35.9144745959169,44,50
a photo containing a apple,49.37602570485655,43,50
a small stop sign near the center,34.872815243016554,43,50
a tv in the scene,30.294316622411248,43,50
a sheep in the scene,35.667759677909324,41,50
a laptop in the scene,31.63871592606953,40,50
a photo of a person,39.466779668625854,39,50
a photo of a sink,44.78648434725415,38,50
a small bear near the center,32.94352928447948,38,50
a photo containing a bottle,29.720277281217577,38,50
a remote in the scene,35.523045023619275,37,50
a potted plant object,32.862163518888224,36,50
a photo containing a broccoli,28.039791192550382,36,50
a photo containing a clock,54.140748586614336,35,50
a small truck near the center,31.273468559339236,35,50
a hot dog in the scene,38.28960634506867,34,50
a photo containing a handbag,34.90404078110989,34,50
a toaster in the scene,28.56162109627363,34,50
a small sandwich near the center,30.927142362679245,33,50
a fork in the scene,42.881020768856835,32,50
a small umbrella near the center,34.7786351650063,32,50
a small toilet near the center,28.665735879618683,32,50
a close-up of a keyboard,35.77913998733833,31,50
a photo of a keyboard,24.84026868347261,31,50
a photo containing a remote,35.56980487667524,30,50
the pizza in this image,26.405448367997515,30,50
a oven in the scene,20.371239750516697,30,50
a small skis near the center,28.895275345988118,29,50
a close-up of a orange,44.44256772349128,28,50
a close-up of a sheep,39.59894865244113,27,50
a photo containing a tennis racket,32.87323921646873,27,50
a photo of a surfboard,25.88010250261183,27,50
a cake in the scene,39.532447055946776,26,50
a close-up of a cell phone,33.14771699234483,26,50
a small hair drier near the center,24.90774057284854,26,50
a visible potted plant in the scene,23.768551322730993,26,50
a umbrella object,22.8799431659867,26,50
a photo containing a umbrella,37.95574115702171,25,50
a close-up of a car,33.970787126990736,25,50
a close-up of a zebra,28.981126513958852,25,50
a photo containing a tie,28.353152066139895,25,50
a photo of a snowboard,26.55967823610474,25,50
a photo of a remote,26.059412340624704,25,50
a small tv near the center,25.12437260629642,25,50
a skateboard in the scene,23.834932191229218,25,50
a visible knife in the scene,28.097799150647937,24,50
a close-up of a toothbrush,29.148798436736193,23,50
a small couch near the center,25.52878081358162,23,50
a close-up of a chair,20.414168790477422,23,50
a photo of a suitcase,26.850535800343806,22,50
a vase object,24.933413185946105,22,50
the surfboard in this image,23.472360155978805,22,50
a photo of a boat,21.710113530177324,22,50
a close-up of a bottle,25.458308411748146,21,50
a small scissors near the center,24.46736077193409,21,50
a small giraffe near the center,23.55703974866638,21,50
a close-up of a hair drier,26.586727589964667,20,50
the bed in this image,23.78913862489932,20,50
a close-up of a cow,31.534699345354,19,50
a visible kite in the scene,17.033508063435253,19,50
a suitcase in the scene,27.61584258316689,18,50
a close-up of a elephant,26.609108308582126,18,50
a photo containing a bus,26.43646436046495,18,50
the handbag in this image,27.381806441742544,17,50
a close-up of a backpack,23.320781519457622,17,50
a photo containing a toothbrush,22.964895810311926,17,50
a photo containing a banana,18.149970975688337,17,50
the truck in this image,13.601435274743881,17,50
a sandwich in the scene,38.446871217856,16,50
a visible sink in the scene,27.914631714122628,16,50
a small cake near the center,26.896564427708658,16,50
a small microwave near the center,23.090087093703296,16,50
a photo of a cow,22.140943951797038,16,50
a close-up of a skateboard,18.132207515920015,16,50
a photo containing a toilet,18.062171276975118,16,50
a photo of a skateboard,17.58840638477005,16,50
a photo containing a orange,17.24096282313835,16,50
the dining table in this image,15.64358138920363,16,50
a photo containing a teddy bear,30.27614396982104,15,50
a close-up of a vase,28.12421594780467,15,50
a visible clock in the scene,21.316931811629566,15,50
a close-up of a snowboard,20.602076988602793,15,50
a close-up of a pizza,19.924686588879783,15,50
a photo of a teddy bear,12.829007907156942,15,50
a cow object,10.456741343232883,15,50
a visible car in the scene,21.73212640217941,14,50
a photo containing a train,20.774338297421934,14,50
a small cell phone near the center,17.98484774656181,14,50
a close-up of a horse,17.793410855663335,14,50
a visible apple in the scene,13.295226478553749,14,50
a bus object,9.177741234868211,14,50
a photo containing a sink,19.61139140595712,13,50
a photo containing a mouse,19.0046313521374,12,50
a close-up of a couch,16.330066326803554,12,50
a close-up of a laptop,16.22873839265952,12,50
a photo containing a fork,15.992701152739295,12,50
a close-up of a toilet,12.74349451810873,12,50
a close-up of a bear,27.924852096619116,11,50
a close-up of a truck,19.72558667484193,11,50
the toilet in this image,16.966862913779124,11,50
the elephant in this image,15.424584245800455,11,50
a close-up of a hot dog,14.223155731593135,11,50
a photo containing a bear,12.140143484224529,11,50
a photo of a chair,10.559567041405794,11,50
a photo of a laptop,9.102915816436392,11,50
a photo of a banana,6.194331863065491,11,50
a close-up of a kite,17.3869995687507,10,50
a close-up of a skis,14.65195164955398,10,50
a photo containing a scissors,13.955423236618964,10,50
a bed object,12.68999749484541,10,50
a photo of a cat,10.318758351061241,10,50
a dog object,6.250729993495882,10,50
a photo containing a laptop,25.881035080335575,9,50
a close-up of a airplane,18.114742572942188,9,50
a photo containing a sports ball,12.656559030921358,9,50
the baseball bat in this image,11.794534600972833,9,50
a photo containing a hot dog,9.332910036665195,9,50
a photo containing a refrigerator,18.296650587812845,8,50
a surfboard in the scene,17.20260253341958,8,50
a photo containing a keyboard,16.853382872011014,8,50
a photo containing a zebra,15.843431462306594,8,50
a close-up of a wine glass,15.053138020806973,8,50
a photo containing a backpack,13.482388269972768,8,50
the motorcycle in this image,9.693195390820385,8,50
a photo of a car,8.603079717220078,8,50
the skis in this image,7.327641613481518,8,50
a photo of a pizza,6.895371409200796,8,50
a vase in the scene,18.318446945102753,7,50
a cat in the scene,16.600154035094228,7,50
a close-up of a baseball glove,14.858324833970793,7,50
a photo containing a skis,14.579236248206445,7,50
the backpack in this image,9.076815166741103,7,50
a photo of a elephant,7.877004238309891,7,50
a close-up of a refrigerator,15.507603083161428,6,50
a photo containing a cow,12.217959552083506,6,50
a close-up of a cat,11.029859185023708,6,50
a photo containing a toaster,10.593497856178816,6,50
a visible teddy bear in the scene,7.140400493702757,6,50
a visible dining table in the scene,6.830548980104367,6,50
a photo containing a stop sign,11.564907083553802,5,50
the sink in this image,4.261977455065709,5,50
a tennis racket object,3.298671561898633,5,50
a donut in the scene,15.930663632288102,4,50
a close-up of a baseball bat,14.592106945105696,4,50
a dining table object,12.872641288190895,4,50
a photo of a sheep,6.9092391835049,4,50
a photo of a bowl,6.0740223419330714,4,50
a visible banana in the scene,5.596883344782852,4,50
a photo of a dining table,12.598917346573222,3,50
a close-up of a bench,12.357189785057091,3,50
a photo containing a dining table,10.722957791348025,3,50
a photo of a parking meter,6.231155952383718,3,50
a visible cup in the scene,5.199452911505453,3,50
the bottle in this image,4.470067380243867,3,50
the giraffe in this image,3.6933127468123206,3,50
the baseball glove in this image,3.5201465085597317,3,50
a visible train in the scene,3.0320104566311676,3,50
a sandwich object,2.142597795411625,3,50
a cat object,2.0125890528331984,3,50
a bench object,1.7824061538084377,3,50
a close-up of a sink,11.129865161843039,2,50
the umbrella in this image,5.546727732225332,2,50
a visible baseball glove in the scene,4.534243014944769,2,50
a visible skateboard in the scene,3.806337781776378,2,50
a visible tennis racket in the scene,3.3617728531855953,2,50
a photo of a zebra,1.1468567994604242,2,50
a visible pizza in the scene,3.3513970110461337,1,50
a visible vase in the scene,3.131062951496388,1,50
a visible toilet in the scene,3.131062951496388,1,50
the cell phone in this image,2.17892684928696,1,50
the train in this image,1.896632385561605,1,50
a chair object,0.2816300009282465,1,50
