family_id,dataset,image_id,file_name,category_id,category_name,prompt,is_prompt_absent,gt_count,candidate_idx,score,x1,y1,x2,y2,max_iou,is_tp,is_null
coco:1:20:0,coco,1,2008_000002.jpg,20,tvmonitor,tvmonitor,False,1,0,0.5218726396560669,32.1972,8.5628,451.6296,295.4815,0.9701270461082458,True,False
coco:1:20:0,coco,1,2008_000002.jpg,20,tvmonitor,tvmonitor,False,1,1,0.11850357055664062,10.2995,5.8001,494.3125,367.3415,0.6671667098999023,True,False
coco:1:20:0,coco,1,2008_000002.jpg,20,tvmonitor,tvmonitor,False,1,2,0.11261232197284698,92.6995,22.119,427.6271,237.4133,0.6176378726959229,True,False
coco:1:20:0,coco,1,2008_000002.jpg,20,tvmonitor,tvmonitor,False,1,3,0.07267232984304428,446.333,111.8012,498.6293,282.157,0.0022650964092463255,False,True
coco:1:20:0,coco,1,2008_000002.jpg,20,tvmonitor,tvmonitor,False,1,4,0.06672295182943344,388.0296,274.846,492.8524,314.1748,0.009089040569961071,False,True
coco:1:20:0,coco,1,2008_000002.jpg,20,tvmonitor,tvmonitor,False,1,5,0.065550796687603,64.3317,259.0417,415.8646,361.0744,0.08485648781061172,False,True
coco:1:10:1,coco,1,2008_000002.jpg,10,cow,cow,True,0,0,0.10682987421751022,34.2483,9.4272,450.5759,291.1438,0.0,False,True
coco:1:12:2,coco,1,2008_000002.jpg,12,dog,dog,True,0,0,0.1577458530664444,34.9516,10.253,450.1345,287.959,0.0,False,True
coco:1:12:2,coco,1,2008_000002.jpg,12,dog,dog,True,0,1,0.08787365257740021,91.3889,23.4723,428.9203,234.6447,0.0,False,True
coco:2:15:3,coco,2,2008_000003.jpg,15,person,person,False,1,0,0.717114269733429,60.7121,188.0708,83.7882,242.9753,0.8776953220367432,True,False
coco:2:15:3,coco,2,2008_000003.jpg,15,person,person,False,1,1,0.1817135363817215,46.5981,180.5482,63.9019,225.3512,0.03692071884870529,False,True
coco:2:15:3,coco,2,2008_000003.jpg,15,person,person,False,1,2,0.15167970955371857,46.415,179.3895,64.3607,245.7865,0.05740857869386673,False,True
coco:2:15:3,coco,2,2008_000003.jpg,15,person,person,False,1,3,0.11239128559827805,331.2043,251.2276,340.4065,266.7593,0.0,False,True
coco:2:15:3,coco,2,2008_000003.jpg,15,person,person,False,1,4,0.09636986255645752,46.7295,192.116,57.3246,224.1479,0.0,False,True
coco:2:15:3,coco,2,2008_000003.jpg,15,person,person,False,1,5,0.07321181148290634,46.8405,56.0025,499.4419,331.8809,0.008913775905966759,False,True
coco:2:13:4,coco,2,2008_000003.jpg,13,horse,horse,True,0,0,0.1805831342935562,45.931,55.9213,499.4552,332.3189,0.0,False,True
coco:2:13:4,coco,2,2008_000003.jpg,13,horse,horse,True,0,1,0.12686394155025482,60.5321,188.6888,84.2142,243.1219,0.0,False,True
coco:2:13:4,coco,2,2008_000003.jpg,13,horse,horse,True,0,2,0.06152353435754776,46.0558,180.1155,64.4506,246.4485,0.0,False,True
coco:2:17:5,coco,2,2008_000003.jpg,17,sheep,sheep,True,0,0,0.08374229073524475,46.0134,56.3254,499.6714,331.7732,0.0,False,True
coco:3:4:6,coco,3,2008_000007.jpg,4,boat,boat,False,1,0,0.44539695978164673,0.2438,229.7919,431.491,292.3766,0.9772211909294128,True,False
