mondrian_group,sum_phi,n_null,min_null
a small potted plant near the center,276.2900302476546,355,50
a small parking meter near the center,202.43652764542688,227,50
a banana object,128.96431838778275,211,50
a umbrella in the scene,149.80654593325443,193,50
a broccoli in the scene,108.30267338585493,166,50
a small sink near the center,127.96966382142976,161,50
a clock in the scene,150.32281202523396,149,50
a spoon in the scene,106.8173726938904,149,50
a small frisbee near the center,126.62166489616455,141,50
a potted plant in the scene,84.63194929513502,140,50
a small orange near the center,112.83600254187576,139,50
a small umbrella near the center,118.39868246233505,133,50
a small kite near the center,95.74575204058071,131,50
a fork in the scene,77.6484576706011,121,50
a carrot in the scene,106.0428141254099,117,50
a close-up of a keyboard,103.87005061996094,99,50
a photo of a cup,78.16374257561482,96,50
a bird in the scene,73.49993279959236,95,50
a banana in the scene,66.84255718417764,92,50
a suitcase in the scene,63.8985950140317,88,50
a small car near the center,72.51981635718951,86,50
a small chair near the center,63.18351392177408,84,50
a small bear near the center,63.55442128665128,80,50
a small snowboard near the center,73.66666924682937,79,50
a small dining table near the center,67.12101033703289,79,50
a book in the scene,64.6553517957246,78,50
a small train near the center,76.4484702878967,76,50
a microwave in the scene,71.62583468804323,75,50
a small bowl near the center,66.5030012811691,75,50
a small laptop near the center,50.27353402336238,75,50
a fire hydrant in the scene,67.2173704533151,73,50
a traffic light object,62.802796383841034,71,50
a small fire hydrant near the center,62.67709697517103,70,50
a person object,57.626325488583305,67,50
a car in the scene,56.6525481415018,66,50
a chair object,55.15280646802487,63,50
a small bird near the center,53.27897302579227,63,50
a tie object,56.562897966527544,60,50
a close-up of a knife,48.85151977501984,59,50
a cake object,55.419133307143525,58,50
a close-up of a backpack,56.830305119286045,55,50
a small cat near the center,52.85521019124662,55,50
a close-up of a bottle,49.963145834137165,54,50
a vase object,56.452956731162914,53,50
a toothbrush in the scene,48.8265444455158,51,50
a small truck near the center,45.170845201116215,51,50
a tennis racket in the scene,43.43705954584922,51,50
a photo containing a apple,50.434966672953315,49,50
a small bus near the center,44.36385454878854,49,50
a close-up of a spoon,49.425350130258344,47,50
a scissors in the scene,42.355283906634824,47,50
a photo containing a tennis racket,56.18403786663102,46,50
a close-up of a remote,42.328866220674804,46,50
a baseball glove in the scene,39.85143546724675,46,50
a bench object,55.27044903528012,45,50
a small tie near the center,48.733486709103325,45,50
a cake in the scene,43.71999857507822,45,50
a small tv near the center,42.939297046645066,45,50
the bottle in this image,54.2966577510887,44,50
a truck object,36.44768572916011,44,50
a small airplane near the center,43.828234337548984,43,50
a skateboard in the scene,46.05544310602974,41,50
a photo containing a handbag,37.395711426283775,41,50
a sheep in the scene,37.33697749096649,41,50
a close-up of a oven,46.85282337015627,40,50
a photo containing a skateboard,38.4590333435759,39,50
a small suitcase near the center,37.06612193644723,39,50
a remote in the scene,34.14029384851647,37,50
a handbag object,41.05917799369974,35,50
a photo of a banana,27.272837687103245,35,50
a oven in the scene,26.321192944488985,34,50
a photo containing a bird,34.35310810670648,33,50
a small sandwich near the center,31.83787440995351,33,50
a photo containing a spoon,28.25565863962472,33,50
a photo containing a potted plant,34.351558482921455,32,50
a small couch near the center,33.8872038647354,32,50
a photo containing a cup,23.811556194707368,32,50
a photo of a person,28.238429807058967,31,50
a photo containing a suitcase,27.70642840117314,31,50
a photo containing a vase,25.07777315677597,31,50
a close-up of a baseball bat,43.29588728197327,30,50
the pizza in this image,28.52431830519015,30,50
a visible person in the scene,41.72298066048257,28,50
a photo containing a backpack,39.53238778559147,28,50
a photo containing a orange,36.98898454174681,28,50
a small vase near the center,35.507914532994974,28,50
a small fork near the center,34.37519010648988,28,50
a photo containing a book,33.784734599939505,28,50
a small banana near the center,32.77843281931574,28,50
a close-up of a carrot,25.927876698264768,28,50
a photo containing a fire hydrant,58.007079737144394,27,50
a surfboard in the scene,39.33448025809664,27,50
a small oven near the center,33.4446561614007,27,50
a photo of a donut,31.537529285667986,26,50
a small traffic light near the center,29.892012697364713,26,50
a photo of a tennis racket,29.318094864146303,26,50
a close-up of a bear,36.30419735062231,25,50
a photo containing a refrigerator,28.405059575414075,25,50
the person in this image,26.356430172862655,25,50
a visible book in the scene,27.078335846734706,24,50
a surfboard object,26.68430523098586,24,50
a photo of a cow,31.27769542031821,23,50
a visible sports ball in the scene,19.460446911335435,23,50
a photo containing a broccoli,33.48053178290621,22,50
a visible bird in the scene,31.635814351387346,22,50
a close-up of a cake,27.25169913135376,22,50
a dining table in the scene,17.771956834097665,22,50
a photo containing a surfboard,22.946016394183594,21,50
a close-up of a tennis racket,19.673769539114144,21,50
a small scissors near the center,18.46479713301066,21,50
a close-up of a cell phone,18.234807947133014,21,50
the cell phone in this image,16.72859579853688,21,50
a photo containing a baseball bat,43.26764966062406,20,50
a dog in the scene,28.05281880997245,20,50
a close-up of a boat,27.0106366181113,20,50
a orange object,25.06130582221298,20,50
a train in the scene,25.580225539748234,19,50
a photo containing a chair,19.763738790399145,19,50
a photo of a teddy bear,13.414420753142618,19,50
a close-up of a truck,25.58542193846599,18,50
a frisbee object,19.59841150942386,18,50
a close-up of a bowl,17.577540948075814,18,50
