mondrian_group,sum_phi,n_null,min_null
a small skis near the center,210.45089154066198,303,50
a broccoli in the scene,186.89222345915329,300,50
a small umbrella near the center,240.5872048054084,285,50
a small sink near the center,193.6432225814809,270,50
a small kite near the center,174.03806318681922,230,50
a small tennis racket near the center,175.47833148809195,190,50
a close-up of a knife,119.98314702299736,186,50
a small dog near the center,103.77916987064035,154,50
a small parking meter near the center,129.44789571138142,148,50
a bus in the scene,123.35914292910913,143,50
a small horse near the center,120.06850869229804,139,50
a stop sign in the scene,113.33908799823878,136,50
a small snowboard near the center,115.05529531783156,130,50
a pizza in the scene,103.46784374082199,101,50
a small carrot near the center,74.42332268966017,99,50
the tie in this image,60.64712297987953,99,50
a cup in the scene,108.16808411760641,98,50
a small cake near the center,85.98270118592247,96,50
a small book near the center,107.1876436666285,91,50
a visible person in the scene,87.97096272073908,88,50
a small sandwich near the center,55.645360346730314,80,50
a small fork near the center,67.22082074155576,78,50
a small cow near the center,77.36689692233547,76,50
a small bear near the center,54.76169426466559,74,50
a baseball bat in the scene,77.48145221712015,71,50
a small microwave near the center,81.06852047394801,70,50
a small tie near the center,61.67497517922197,70,50
a toilet in the scene,59.032829326803814,70,50
a close-up of a spoon,80.70111076529834,67,50
the person in this image,64.62752254700015,64,50
a small toothbrush near the center,61.558864511441364,64,50
the backpack in this image,64.87000965485969,62,50
a small train near the center,58.48699033764945,62,50
a small cup near the center,54.55164630372503,62,50
a small frisbee near the center,54.3715584419529,59,50
a close-up of a keyboard,53.28587852568113,58,50
a bench in the scene,38.37725794736562,58,50
a small backpack near the center,54.04804696059446,57,50
a photo containing a fork,46.900983312866096,54,50
a wine glass in the scene,41.084484604561034,52,50
a toothbrush in the scene,51.3164920759047,51,50
a small elephant near the center,50.78362043843408,48,50
a motorcycle in the scene,44.95447768254285,48,50
a spoon in the scene,63.15415452173731,47,50
a scissors in the scene,42.75934148567835,47,50
a photo of a mouse,38.774908761957704,46,50
a tennis racket in the scene,47.04046275504178,45,50
a small laptop near the center,40.44742512151093,45,50
a photo containing a carrot,50.70550127310142,44,50
a elephant in the scene,37.477132859655235,44,50
a book in the scene,51.9464312692966,43,50
a small airplane near the center,42.031229508572714,43,50
a close-up of a cake,52.97003641721882,42,50
a photo containing a knife,45.39149299796716,41,50
a close-up of a bowl,38.375483255384204,40,50
a visible chair in the scene,40.53442895506157,39,50
a small bicycle near the center,29.39394941357096,39,50
a small oven near the center,56.10599761877045,38,50
a photo containing a surfboard,35.001436602793696,38,50
a toaster in the scene,31.427742853647583,38,50
