table,dataset,detector,alpha,method,fdp_pooled_mean,fdp_pooled_std,fdp_family_mean,recall_mean,rejections_mean,phi_max_median,loo_mean,n_seeds,source,pooled_bound_eps,pooled_bound_delta,pooled_bound_covered,pooled_bound_eps_stratified
table1_main,COCO val,GDino,0.05,betting_eBH,0.027414,0.01878,0.004218,0.147168,104.0,356.8,1.0,20,outputs/coco_gdino_1000_20seed_formal_hist,14.785569,0.05,20/20,10.641227
table1_main,COCO val,GDino,0.1,betting_eBH,0.03963,0.019761,0.006484,0.18707,134.0,356.8,1.0,20,outputs/coco_gdino_1000_20seed_formal_hist,11.589667,0.05,20/20,16.573011
table1_main,COCO val,GDino,0.15,betting_eBH,0.0507,0.022012,0.009481,0.21018,152.4,356.8,1.0,20,outputs/coco_gdino_1000_20seed_formal_hist,10.155502,0.05,20/20,15.781716
table1_main,COCO val,GDino,0.2,betting_eBH,0.05983,0.021171,0.012492,0.227744,166.8,356.8,1.0,20,outputs/coco_gdino_1000_20seed_formal_hist,9.270123,0.05,20/20,14.408231
table1_main,COCO val,OWL-ViT,0.05,betting_eBH,0.015067,0.017121,0.002098,0.081944,44.2,197.7,1.0,20,outputs/coco_owlvit_1000_20seed_formal_hist,19.861974,0.05,20/20,14.408322
table1_main,COCO val,OWL-ViT,0.1,betting_eBH,0.023127,0.018446,0.003373,0.112034,60.9,197.7,1.0,20,outputs/coco_owlvit_1000_20seed_formal_hist,13.855627,0.05,20/20,11.737192
table1_main,COCO val,OWL-ViT,0.15,betting_eBH,0.035324,0.030224,0.005977,0.134035,73.8,197.7,1.0,20,outputs/coco_owlvit_1000_20seed_formal_hist,11.351216,0.05,20/20,11.532092
table1_main,COCO val,OWL-ViT,0.2,betting_eBH,0.038021,0.030147,0.008119,0.153647,85.0,197.7,1.0,20,outputs/coco_owlvit_1000_20seed_formal_hist,9.93491,0.05,20/20,10.734474
table1_main,VOC 2012,GDino,0.05,betting_eBH,0.04566,0.016742,0.01162,0.252067,150.0,1145.6,1.0,20,outputs/voc_gdino_1000_20seed_formal_hist,7.451771,0.05,20/20,11.459956
table1_main,VOC 2012,GDino,0.1,betting_eBH,0.056233,0.019634,0.016869,0.326038,196.4,1145.6,1.0,20,outputs/voc_gdino_1000_20seed_formal_hist,5.804906,0.05,20/20,9.687416
