prompt,sum_phi,n_null,min_null
person,1768.5572525534453,1343,200
chair,855.1944129503376,604,200
car,207.41472057469912,342,200
skis,155.49245493200834,286,200
truck,111.72720766645175,209,200
broccoli,165.45404295491807,208,200
backpack,111.52221097008574,189,200
boat,109.30171705753612,189,200
tie,91.43640995596573,151,200
bottle,60.25402050140868,118,200
banana,104.67795838136549,112,200
carrot,59.527024469608186,109,200
traffic light,63.92956100833578,99,200
cup,68.29210827445257,79,200
umbrella,42.78195698100822,76,200
handbag,39.098793043392575,73,200
spoon,55.56930962552788,72,200
bicycle,38.51150028191509,72,200
vase,48.39665813042671,71,200
bird,27.539326655075218,67,200
apple,640.1272355094135,65,200
knife,41.58328411502698,59,200
teddy bear,34.6388770472218,59,200
elephant,32.713858623418815,56,200
bear,30.828066085106204,45,200
clock,25.489985203129493,45,200
train,22.12738410939636,45,200
book,34.77890947477291,42,200
cell phone,280.2012342732287,41,200
keyboard,32.14075965412006,40,200
refrigerator,28.14843198094999,40,200
fork,24.91696832246979,40,200
stop sign,19.090229339005113,39,200
dining table,16.86503824876416,39,200
tv,21.568701924147685,37,200
airplane,20.64101438676995,37,200
snowboard,24.05607499688094,36,200
sink,23.176070074665276,35,200
bowl,306.9221036703814,34,200
wine glass,63.78495941687964,34,200
sports ball,13.9826575766463,33,200
tennis racket,10.997444416798523,32,200
toaster,16.71822400866339,31,200
mouse,38.222921327248805,30,200
zebra,21.1341305754868,30,200
donut,17.500847615777197,30,200
couch,16.42259548485929,30,200
microwave,14.620863838279297,28,200
scissors,12.03944395986558,28,200
bed,17.58217626572814,27,200
laptop,16.707593777130075,27,200
toilet,14.233726298231739,27,200
skateboard,13.546132046575934,26,200
horse,22.67614178892908,24,200
pizza,12.288689864978968,23,200
remote,7.38379158326372,23,200
motorcycle,13.558905145255927,22,200
cake,12.584933315019374,21,200
frisbee,8.660264128938646,21,200
giraffe,12.072235592872161,20,200
suitcase,7.378375645902883,18,200
kite,9.2310641812535,17,200
potted plant,6.605922679296627,17,200
bench,12.133316829635207,15,200
cat,122.60965727801955,14,200
orange,9.353348276508441,14,200
toothbrush,6.1576446604579465,14,200
surfboard,6.995558335691333,13,200
sheep,4.693858834185088,10,200
fire hydrant,3.7426089515037155,10,200
hot dog,14.48853067046778,9,200
dog,3.4548355055849482,9,200
sandwich,8.87721305974691,8,200
oven,5.3421919156413855,8,200
baseball glove,2.267388749325532,7,200
cow,3.463858097710233,6,200
parking meter,1.5489909861833104,6,200
bus,2.897292594462581,5,200
baseball bat,0.6774227697597521,2,200
hair drier,0.6179611440439619,1,200
