mondrian_group,sum_phi,n_null,min_null
a small book near the center,236.39028966059035,246,50
a close-up of a knife,166.1571951967292,245,50
a small sink near the center,160.27523872974416,207,50
a small frisbee near the center,140.35608913445304,177,50
a tie object,121.9273833423721,161,50
a small stop sign near the center,109.35191180083389,149,50
a potted plant in the scene,88.14677623144658,140,50
a stop sign in the scene,111.29368377230604,139,50
a small skis near the center,91.6546297671192,138,50
a baseball bat in the scene,122.62415835286143,133,50
a visible book in the scene,104.51722447618154,130,50
a small horse near the center,94.69739319751643,119,50
a carrot in the scene,105.16909172135905,117,50
a small banana near the center,84.88162056894762,113,50
a clock in the scene,108.9113561917619,112,50
a tv in the scene,80.55527376486312,105,50
a small bear near the center,79.57489055108545,104,50
a spoon in the scene,86.80238679778726,102,50
a dog in the scene,87.9328809999682,94,50
a close-up of a baseball glove,111.21161838896764,93,50
a baseball glove in the scene,93.44767673205206,93,50
a small sports ball near the center,81.3392753780462,93,50
a close-up of a keyboard,92.28905697984999,92,50
a broccoli in the scene,70.38224366474611,90,50
a sports ball in the scene,71.9321135805188,89,50
a car in the scene,58.63169128261196,89,50
a truck in the scene,79.60088444662739,84,50
a small cake near the center,62.563307816911596,80,50
a small dining table near the center,67.92249564826021,79,50
a orange in the scene,70.04012961736339,76,50
a small laptop near the center,49.23147694515062,75,50
a fire hydrant in the scene,63.86915339856187,73,50
a toilet in the scene,60.08857593469292,70,50
a visible skis in the scene,57.85241534526535,69,50
a small kite near the center,54.515318733996196,68,50
a small toaster near the center,58.52079513738545,67,50
a skateboard in the scene,65.5440124107238,66,50
a apple in the scene,64.18160834180395,65,50
a zebra in the scene,73.62768123715819,64,50
a small bird near the center,53.137184717674515,63,50
a chair in the scene,67.91718708843126,62,50
a keyboard in the scene,56.77960122552401,62,50
a small donut near the center,58.05286617484723,61,50
a small oven near the center,63.11643442845786,60,50
a train in the scene,52.91352923063364,60,50
a photo of a bottle,51.942198472481344,60,50
a cake in the scene,68.47499812618791,58,50
a donut in the scene,55.544189752776404,57,50
a chair object,51.51408945072516,55,50
a photo of a person,47.196626509851875,54,50
the person in this image,56.71868575142035,52,50
a small cow near the center,48.036359794686724,52,50
a small traffic light near the center,51.15658125492436,51,50
a small tennis racket near the center,48.138446789263156,48,50
a motorcycle in the scene,44.617959005453486,48,50
a small keyboard near the center,44.24358724281299,47,50
a small boat near the center,41.99260923060346,47,50
a small parking meter near the center,42.69264542885531,46,50
a bench object,51.12440224847015,45,50
a sandwich in the scene,55.891708607073994,44,50
a small suitcase near the center,32.076872447023135,44,50
a book in the scene,53.2569506254769,43,50
a photo containing a fork,41.75358688293631,43,50
a small airplane near the center,41.747296326341136,43,50
a dining table in the scene,36.11008016169737,43,50
a car object,26.456013957855063,43,50
a close-up of a spoon,56.753059336154465,42,50
a small umbrella near the center,46.60692086720608,42,50
a small couch near the center,40.244189834465296,42,50
a photo containing a broccoli,38.84349547791498,42,50
a bus in the scene,33.78022009128052,42,50
a photo of a chair,32.297093422155505,42,50
a photo containing a handbag,40.79517000113082,41,50
a microwave in the scene,40.37245800314747,41,50
a oven in the scene,43.73700383697692,40,50
a laptop in the scene,30.6241568205252,40,50
a close-up of a banana,36.11180738065952,39,50
a person object,26.410269458829983,39,50
a photo containing a knife,43.78372229818365,37,50
a refrigerator in the scene,29.524740448307053,36,50
a photo containing a baseball bat,56.23973406648911,35,50
a handbag in the scene,49.07834844580404,35,50
a photo of a car,44.498567104191125,35,50
a close-up of a bowl,35.72431279691335,35,50
a close-up of a orange,48.53607221625903,34,50
a photo containing a backpack,39.66921471571892,34,50
a visible knife in the scene,32.698704757513305,34,50
a photo containing a banana,34.7877692836996,33,50
a photo containing a suitcase,36.768708284788545,31,50
a close-up of a remote,36.674416224350004,31,50
a fork in the scene,35.6237517904787,30,50
a photo containing a carrot,34.624965839266544,30,50
a couch in the scene,31.284566698837246,29,50
the dining table in this image,28.974803106181525,29,50
a photo containing a spoon,26.29520401861031,29,50
