mondrian_group,sum_phi,n_null,min_null
a giraffe in the scene,204.52157953219915,319,50
a banana object,126.00391908638272,211,50
a close-up of a knife,116.03123549680049,186,50
a small frisbee near the center,138.16498229468198,177,50
a small keyboard near the center,123.74532190356923,172,50
a small skis near the center,116.03073571843413,165,50
a small toaster near the center,130.9440283959573,163,50
a small sink near the center,121.43136024208573,161,50
a baseball glove in the scene,148.4334235139274,158,50
a potted plant in the scene,84.35379806849265,140,50
a donut in the scene,122.84977257555968,136,50
a small tv near the center,118.11910054580967,134,50
a stop sign in the scene,104.00946268127268,127,50
a small banana near the center,110.27433332127022,123,50
a small laptop near the center,87.17730534037067,120,50
a small tie near the center,91.27830358150024,98,50
a visible book in the scene,78.84145689228816,94,50
a sports ball in the scene,68.08849991628031,89,50
a car in the scene,58.75656060278716,89,50
a small suitcase near the center,75.73134216512415,87,50
a small parking meter near the center,80.9109194499815,83,50
a visible person in the scene,74.43693893126107,78,50
a book in the scene,65.36463621902823,78,50
a fire hydrant in the scene,61.36496375217795,73,50
a carrot in the scene,74.37725947001408,70,50
a close-up of a baseball glove,63.664293886330015,70,50
a small tennis racket near the center,57.852733981508386,68,50
a book object,58.384185643700484,67,50
a microwave in the scene,59.756092474442504,66,50
a close-up of a backpack,59.65797756064243,65,50
a snowboard in the scene,59.67798954153113,64,50
a truck in the scene,46.7770350272493,64,50
a small oven near the center,58.61734268392791,63,50
a wine glass in the scene,56.58909716385971,63,50
a small kite near the center,40.677748259181065,63,50
a bench in the scene,69.03152874960627,62,50
a small handbag near the center,45.871098125446444,59,50
a bottle in the scene,63.0096681544783,57,50
a small backpack near the center,57.13774034884844,57,50
a clock in the scene,70.17576054560168,56,50
a close-up of a remote,61.39906562532857,56,50
a close-up of a spoon,52.83597648493872,56,50
a small refrigerator near the center,44.64967589026149,56,50
a fork in the scene,44.14638235031337,54,50
a tennis racket in the scene,44.22780638121565,51,50
a small horse near the center,43.44464215055089,51,50
a photo containing a skateboard,52.40940724123344,48,50
a photo containing a keyboard,42.87345504794326,48,50
