mondrian_group,sum_phi,n_null,min_null
a giraffe in the scene,212.47234154113454,319,50
a broccoli in the scene,184.33962590679283,256,50
a small umbrella near the center,198.00776631783714,243,50
a close-up of a knife,165.98648116948172,242,50
a close-up of a fork,115.49818063567675,193,50
a small donut near the center,140.09755706745767,154,50
a baseball glove in the scene,144.99990301560263,147,50
a book in the scene,114.28945385712805,140,50
a bus in the scene,109.16301312346967,133,50
a small keyboard near the center,89.94674728420212,122,50
a fork in the scene,81.97973398785793,121,50
a small spoon near the center,80.2185889750254,119,50
a spoon in the scene,87.57380221096469,102,50
a small carrot near the center,74.4602209822932,99,50
a keyboard in the scene,101.11362039738371,97,50
a small sports ball near the center,81.2607648325527,93,50
a car in the scene,58.79487894729617,89,50
a small car near the center,68.79811759613762,86,50
a backpack in the scene,92.06543816764857,84,50
a small frisbee near the center,73.45509463847351,82,50
a cup in the scene,71.90675956945928,82,50
a small handbag near the center,80.67025608503452,79,50
a small sink near the center,54.63373472375294,76,50
a photo containing a handbag,75.6116084254881,75,50
a small potted plant near the center,60.95712332125003,72,50
a sports ball in the scene,65.55273949075257,70,50
a small tie near the center,59.741856700606775,70,50
a photo containing a chair,64.71392578376273,68,50
a donut in the scene,61.1172788147675,68,50
a small horse near the center,53.54679107452697,68,50
a visible chair in the scene,67.78142317681775,67,50
a visible broccoli in the scene,61.429627837201934,67,50
a book object,59.69738290185075,67,50
a small person near the center,57.167345846639066,67,50
a small cup near the center,57.230174618250366,64,50
a small bird near the center,55.61378791474467,63,50
a small toilet near the center,53.8265577291137,63,50
a small wine glass near the center,46.000582143073856,59,50
a small suitcase near the center,65.86746584335157,58,50
a close-up of a carrot,61.330941223334364,58,50
a cake object,51.72568053270194,58,50
a bottle in the scene,65.7790760441634,57,50
a photo containing a suitcase,64.69761533555672,57,50
a small skateboard near the center,50.562989052072666,55,50
a truck in the scene,66.77257197967084,53,50
a wine glass in the scene,41.61462796700716,52,50
a small traffic light near the center,49.877184930930355,51,50
a small truck near the center,43.97234249627341,51,50
a tv in the scene,49.25232561553689,50,50
a photo containing a skateboard,47.40067674986529,50,50
a baseball bat in the scene,46.82720268254133,50,50
a photo containing a tie,57.96053138029703,48,50
a photo containing a spoon,40.52993323160314,46,50
a small fork near the center,48.240701476317234,45,50
a stop sign in the scene,38.85564588615979,44,50
a photo containing a potted plant,59.62474209545462,43,50
a photo of a traffic light,44.669289267570335,43,50
a car object,28.524675277425835,43,50
a close-up of a spoon,58.17334938274082,42,50
a small boat near the center,41.8669578115282,41,50
a photo of a remote,33.76747030532109,40,50
a visible person in the scene,52.027511332399165,39,50
a small refrigerator near the center,35.577174532107016,39,50
a zebra in the scene,37.445793814200464,38,50
a visible boat in the scene,34.74454738550805,38,50
a visible bowl in the scene,34.02155753624054,38,50
a toaster in the scene,33.6217296916301,38,50
a small fire hydrant near the center,37.05502111568585,36,50
a visible tie in the scene,36.625202412558515,36,50
a small train near the center,35.73285684474613,36,50
a photo containing a broccoli,28.111685857276804,36,50
a close-up of a book,30.21653277959429,34,50
a person object,21.154754075631917,34,50
a photo of a sink,38.10971510619405,33,50
a photo containing a remote,34.09408470373365,33,50
a bus object,24.019579084778428,33,50
a photo containing a tennis racket,47.447755471955986,32,50
a close-up of a pizza,36.82425198290618,32,50
a close-up of a baseball glove,33.004515713153964,32,50
a close-up of a tennis racket,25.62689406455207,32,50
a small bus near the center,27.992113854233285,31,50
a photo containing a bench,34.11780833464638,30,50
a photo of a tie,26.675148749379566,30,50
a bird in the scene,37.05787983354079,28,50
a cat in the scene,30.310330554141448,28,50
a small hair drier near the center,28.476129408574902,28,50
a close-up of a orange,60.49376893018172,27,50
a small oven near the center,32.46176130100803,26,50
a bicycle in the scene,28.888856710228424,26,50
a close-up of a apple,26.96031637376082,26,50
a potted plant object,25.5699851896023,26,50
