mondrian_group,sum_phi,n_null,min_null
a giraffe in the scene,178.93478447355253,300,50
a small toaster near the center,223.3115078052721,270,50
a small broccoli near the center,150.58800760585052,240,50
a banana object,131.12258424755106,211,50
a small frisbee near the center,143.90225241543087,177,50
a fork in the scene,120.23756039098761,151,50
a spoon in the scene,99.17736561190742,151,50
a small toothbrush near the center,133.18325729659372,149,50
a small donut near the center,124.95289696363771,136,50
a bench in the scene,122.08382659297781,136,50
a small tv near the center,119.56952832596374,134,50
a small umbrella near the center,117.2090630052981,133,50
a tv in the scene,96.92809678089665,124,50
a small keyboard near the center,105.68518041631113,119,50
a small banana near the center,85.80284157396244,113,50
a small skis near the center,95.91198637468665,112,50
a small dog near the center,93.50509526159799,104,50
a small carrot near the center,75.78068244442517,99,50
a cell phone in the scene,96.7222542789415,98,50
a small suitcase near the center,94.37781185350379,92,50
a banana in the scene,65.18896085127444,92,50
a close-up of a spoon,104.5421863333125,89,50
a photo containing a handbag,102.83951618510515,88,50
a tie in the scene,78.7464435416505,87,50
a small fork near the center,77.11477355884765,84,50
a small elephant near the center,72.41698174421659,84,50
a small sandwich near the center,55.057985025079375,80,50
a photo of a cup,55.31060844337511,77,50
a photo containing a dog,87.46026904375006,76,50
a small cow near the center,77.57095053189049,76,50
a orange in the scene,67.48665157036108,76,50
a small dining table near the center,81.27658874432821,74,50
a small bear near the center,56.16880113581347,74,50
a close-up of a bottle,65.478293794483,71,50
a sports ball in the scene,64.61836209773024,70,50
a toilet in the scene,61.403776790292675,70,50
a small tennis racket near the center,58.52342979366189,68,50
a book object,57.816681280637134,68,50
a photo containing a chair,69.48037538526408,67,50
a small bottle near the center,74.67039891768817,65,50
a apple in the scene,62.46934776290615,65,50
a small potted plant near the center,43.21874350258761,65,50
a close-up of a baseball glove,71.16155187333858,64,50
a truck in the scene,46.68999592799713,64,50
a photo containing a skateboard,72.88052365089084,63,50
a carrot in the scene,48.67735354686954,62,50
a close-up of a keyboard,53.644814929956596,60,50
a close-up of a knife,47.61887837376711,56,50
a small bird near the center,40.26804169768054,56,50
a small cat near the center,50.45361763433474,55,50
a clock in the scene,69.79943708096889,52,50
a tie object,47.41428283269633,52,50
a cow in the scene,71.84500130579696,51,50
a small snowboard near the center,48.31435141594096,51,50
a close-up of a backpack,36.57993141207416,48,50
a scissors in the scene,45.07605182628266,47,50
a photo containing a keyboard,47.37630829995337,46,50
a small handbag near the center,37.75681796452856,46,50
a close-up of a toilet,62.20713589802189,45,50
the cell phone in this image,44.610178374186006,44,50
a umbrella in the scene,41.008148104075175,44,50
a elephant in the scene,38.53417297249117,44,50
the surfboard in this image,45.50466422202672,43,50
a car object,28.198755925210083,43,50
a sheep in the scene,34.80017794941555,41,50
a small train near the center,34.058764395609494,40,50
a close-up of a snowboard,54.85687239226149,38,50
a bed in the scene,49.11691066853612,38,50
a photo containing a bird,38.60177255167959,38,50
a photo of a person,46.43398268863729,37,50
a photo containing a laptop,51.558970990459805,35,50
a handbag object,40.57961972058249,35,50
a photo containing a fork,39.83296741687102,35,50
a small bowl near the center,38.78540459506074,34,50
a photo containing a skis,34.834563280980916,34,50
a close-up of a book,32.154716825795056,34,50
a visible wine glass in the scene,36.90302748456325,33,50
a small oven near the center,32.553493185386706,33,50
a handbag in the scene,36.88170265801037,32,50
a photo containing a potted plant,34.586499839561554,32,50
a photo of a vase,28.588883976880425,32,50
a photo containing a remote,38.8890613607759,31,50
a close-up of a carrot,34.79413214523385,30,50
a photo containing a carrot,35.03640871355763,29,50
a boat in the scene,30.344940600152302,29,50
a photo containing a bottle,24.47601176972323,29,50
a photo containing a frisbee,30.513535721178382,28,50
a small tie near the center,28.435198125960124,28,50
a small kite near the center,33.95522614051472,27,50
a sink in the scene,33.54137071448069,27,50
a visible handbag in the scene,42.0961535261682,26,50
a cake in the scene,38.49036172505444,26,50
a small bus near the center,27.39734214638171,26,50
a close-up of a vase,47.670844964813064,25,50
a close-up of a microwave,40.356795344373964,25,50
a small book near the center,32.71677818615379,25,50
a small mouse near the center,28.187965854389905,25,50
a photo of a remote,25.450465808619107,25,50
a photo containing a baseball bat,51.94307186595103,24,50
a visible bottle in the scene,32.24697672746629,24,50
a close-up of a orange,42.73154628727469,23,50
the person in this image,21.074416978062594,23,50
a photo of a bottle,18.05863453169173,23,50
a photo containing a snowboard,28.63910556890517,22,50
a photo containing a boat,37.633316511257256,21,50
a photo containing a sports ball,27.751873014799866,21,50
a photo of a car,29.5525615458506,20,50
a orange object,26.15284306746394,20,50
a close-up of a clock,37.279042999852315,19,50
a photo containing a horse,25.18816460005401,19,50
a train in the scene,24.178404515261885,19,50
a photo of a cow,18.150018766256903,19,50
a photo containing a bus,26.61007304837905,18,50
a photo containing a train,23.134329821282243,18,50
a close-up of a bear,22.691981998994528,18,50
a frisbee object,18.83042759223458,18,50
a close-up of a airplane,33.03905039969609,17,50
a small scissors near the center,28.12239866703618,17,50
a photo containing a clock,22.486540888177583,17,50
a close-up of a chair,21.26294529009626,16,50
a photo of a traffic light,19.854508478211258,16,50
the handbag in this image,19.290495105203636,16,50
the carrot in this image,18.078261490260477,16,50
a photo containing a teddy bear,29.881434690896047,15,50
a close-up of a motorcycle,21.45509587108026,15,50
a photo containing a oven,21.43545126702476,15,50
a photo containing a bed,18.785525940816694,15,50
a cow object,10.524343939605773,15,50
a person object,8.323395235410704,15,50
a close-up of a cow,30.510665143733824,14,50
a small cell phone near the center,19.83750448567212,14,50
a close-up of a tennis racket,18.72691239346363,14,50
a close-up of a cake,17.687490232557558,14,50
the book in this image,16.39699686180585,14,50
a visible person in the scene,14.94244840425208,14,50
a visible apple in the scene,14.938816235083443,14,50
a bicycle object,9.952787522161163,14,50
a photo containing a refrigerator,21.135104240402143,13,50
a close-up of a hair drier,20.451408188076925,13,50
a close-up of a mouse,17.893570462503195,13,50
a close-up of a scissors,16.329938090644166,13,50
a photo of a airplane,11.883511472726202,13,50
a close-up of a remote,21.012274540481975,12,50
a photo containing a airplane,16.98479965458594,12,50
a close-up of a laptop,16.52730124674764,12,50
a photo containing a fire hydrant,16.069538021945263,12,50
a close-up of a truck,20.726338005003676,11,50
a close-up of a handbag,18.869810425000534,11,50
a visible truck in the scene,17.253310822642565,11,50
a close-up of a cat,14.354946936374771,11,50
a close-up of a hot dog,14.008807055298867,11,50
a photo of a kite,13.538599693877519,11,50
a photo containing a toilet,13.174396766045163,11,50
a close-up of a wine glass,28.00569299658901,10,50
a photo containing a kite,21.105987213440944,10,50
a close-up of a kite,17.930160215296787,10,50
a close-up of a elephant,17.810330042651895,10,50
a photo containing a vase,17.320771355671557,10,50
a close-up of a horse,16.480365948746595,10,50
a photo containing a hair drier,18.605488761217455,9,50
